QUERY


CREATE TABLE Employee 
(
    
    SSN VARCHAR(45) PRIMARY KEY,
    EmployeeID INT,
    Name VARCHAR(100),
    Address VARCHAR(255),
    Telephone VARCHAR(15),
    StartDate DATE,
    LengthOfEmployment INT,
    ManagerSSN VARCHAR(45),
    UNIQUE (EmployeeID),
    FOREIGN KEY (ManagerSSN) REFERENCES Employee(SSN)
);


DATA


INSERT INTO Employee (EmployeeID, SSN, Name, Address, Telephone, StartDate, LengthOfEmployment, ManagerSSN)
    VALUES
    (201, '111-22-3333', 'John Smith', '123 Main Street, Anytown', '555-123-4567', '2023-01-01', 3, NULL),
    (227, '210-98-7654', 'Hannah Wilson', '2525 Walnut Street, Brookside', '555-789-0123', '2025-03-07', 4, '987-65-4321'),
    (228, '109-87-6543', 'Caleb Smith', '2626 Pine Avenue, Ridgewood', '555-890-1234', '2025-04-13', 5, '987-65-4321'),
    (229, '098-76-5432', 'Aaliyah Davis', '2727 Cedar Road, Meadowville', '555-901-2345', '2025-05-26', 3, '987-65-4321'),
    (230, '987-65-4322', 'Benjamin Wilson', '2828 Oak Street, Hilltop', '555-012-3456', '2025-06-01', 4, '987-65-4321'),
    (231, '876-54-3211', 'Zoe Smith', '2929 Elm Drive, Lakeside', '555-123-4567', '2025-07-14', 5, '987-65-4321'),
    (232, '765-43-2110', 'Christopher Davis', '3030 Walnut Lane, Parkside', '555-234-5678', '2025-08-20', 3, '987-65-4321'),
    (233, '654-32-1099', 'Mia Wilson', '3131 Pine Street, Brookville', '555-345-6789', '2025-09-05', 4, '987-65-4321'),
    (234, '543-21-0988', 'David Smith', '3232 Cedar Avenue, Seaside', '555-456-7890', '2025-10-12', 5, '987-65-4321'),
    (235, '432-10-9877', 'Sophia Davis', '3333 Elm Lane, Lakeshore', '555-567-8901', '2025-11-26', 3, '987-65-4321'),
    (236, '321-09-8766', 'Henry Miller', '3434 Birch Road, Valleyview', '555-678-9012', '2025-12-01', 4, '987-65-4321'),
    (237, '210-98-7655', 'Ella Wilson', '3535 Walnut Street, Brookside', '555-789-0123', '2026-01-15', 5, '987-65-4321'),
    (238, '109-87-6544', 'Owen Smith', '3636 Pine Lane, Ridgewood', '555-890-1234', '2026-02-19', 3, '987-65-4321'),
    (239, '098-76-5433', 'Victoria Davis', '3737 Cedar Street, Meadowville', '555-901-2345', '2026-03-06', 4, '987-65-4321'),
    (240, '987-65-4323', 'Gabriel Wilson', '3838 Oak Drive, Hilltop', '555-012-3456', '2026-04-11', 5, '987-65-4321');
